plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	raw_r4_ch1	raw_r5_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	raw/PlateMedian_r4_ch1	raw/PlateMedian_r5_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	normalized_r4_ch1	normalized_r5_ch1	PlateName	drug1	concdrug1.micro_M.	drug2	concdrug2.micro_M.	GeneID
2	1	24.3	A01	pos	pos	7457	7637	7560	NA	NA	7560	7551.33333333333	0.00371	0.00407	0.00391	NA	NA	-0.192	-0.189	-0.184	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
2	361	22.41	P01	pos	pos	12864	12984	9372	NA	NA	12864	11740	0.00639	0.00692	0.00484	NA	NA	-0.078	-0.076	-0.139	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
2	25	20.72	B01	pos	pos	17473	17623	16394	NA	NA	17473	17163.3333333333	0.00868	0.00939	0.00847	NA	NA	-0.013	-0.011	-0.021	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
1	1	20.48	A01	pos	pos	6566	7373	7647	3264	7180	7180	6406	0.00444	0.00457	0.00459	0.00258	0.00358	-0.119	-0.114	-0.119	-0.224	-0.15	1	STATTIC	20	STATTIC	20	STATTIC
1	361	19.71	P01	pos	pos	7236	7804	8948	7827	9412	7827	8245.4	0.0049	0.00484	0.00538	0.00619	0.00469	-0.099	-0.102	-0.087	-0.039	-0.096	1	STATTIC	20	STATTIC	20	STATTIC
2	193	19.3	I01	pos	pos	23931	22276	25188	NA	NA	23931	23798.3333333333	0.0119	0.0119	0.013	NA	NA	0.053	0.039	0.069	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
2	169	18.66	H01	pos	pos	26339	25676	30849	NA	NA	26339	27621.3333333333	0.0131	0.0137	0.0159	NA	NA	0.073	0.069	0.112	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
1	25	17.39	B01	pos	pos	13475	14614	15649	10901	20454	14614	15018.6	0.00912	0.00906	0.0094	0.00862	0.0102	0.028	0.026	0.028	0.03	0.061	1	STATTIC	20	STATTIC	20	STATTIC
2	337	17.04	O01	pos	pos	39284	40843	39177	NA	NA	39284	39768	0.0195	0.0218	0.0202	NA	NA	0.157	0.168	0.163	NA	NA	2	STATTIC	20	STATTIC	20	STATTIC
1	169	16.99	H01	pos	pos	14817	17049	17303	15719	20163	17049	17010.2	0.01	0.0106	0.0104	0.0124	0.0101	0.047	0.058	0.049	0.108	0.059	1	STATTIC	20	STATTIC	20	STATTIC
1	193	16.87	I01	pos	pos	17012	18452	18926	12082	19030	18452	17100.4	0.0115	0.0114	0.0114	0.00955	0.00949	0.075	0.074	0.067	0.052	0.047	1	STATTIC	20	STATTIC	20	STATTIC
1	337	16.82	O01	pos	pos	16441	17069	18425	13335	22299	17069	17513.8	0.0111	0.0106	0.0111	0.0105	0.0111	0.068	0.058	0.062	0.073	0.079	1	STATTIC	20	STATTIC	20	STATTIC
1	70	7.74	C22	sample	sample	222482	179040	216472	158238	220190	216472	199284.4	0.151	0.111	0.13	0.125	0.11	0.601	0.54	0.57	0.595	0.542	1	Bendamustine	10	WORT	10	Bendamustine_10_WORT_10
2	252	7.42	K12	sample	sample	308707	283490	545632	NA	NA	308707	379276.333333333	0.153	0.151	0.282	NA	NA	0.591	0.579	0.718	NA	NA	2	Disulfiram	0.3125	MK2206	0.3125	Disulfiram_0.3125_MK2206_0.3125
2	253	7.02	K13	sample	sample	320283	349629	555975	NA	NA	349629	408629	0.159	0.186	0.287	NA	NA	0.598	0.624	0.722	NA	NA	2	Disulfiram	0.3125	MK2206	0.3125	Disulfiram_0.3125_MK2206_0.3125
1	286	6.99	L22	sample	sample	221350	179122	129093	573025	536761	221350	327870.2	0.15	0.111	0.0776	0.453	0.268	0.6	0.54	0.463	0.867	0.722	1	Bendamustine	10	AKTi VIII	10	Bendamustine_10_AKTi VIII_10
1	51	6.96	C03	sample	sample	273305	252974	215742	112116	356784	252974	242184.2	0.185	0.157	0.13	0.0886	0.178	0.643	0.611	0.569	0.523	0.64	1	Bendamustine	10	WORT	10	Bendamustine_10_WORT_10
2	70	6.9	C22	sample	sample	400928	429820	385859	NA	NA	400928	405535.666666667	0.199	0.229	0.199	NA	NA	0.646	0.667	0.645	NA	NA	2	Bendamustine	10	WORT	10	Bendamustine_10_WORT_10
2	255	6.84	K15	sample	sample	431142	395157	407298	NA	NA	407298	411199	0.214	0.21	0.21	NA	NA	0.661	0.65	0.656	NA	NA	2	Disulfiram	0.15625	MK2206	0.15625	Disulfiram_0.15625_MK2206_0.15625
1	267	6.58	L03	sample	sample	140117	131704	163355	1181803	1127059	163355	548807.6	0.0948	0.0817	0.0982	0.934	0.562	0.507	0.477	0.512	1.02	0.872	1	Bendamustine	10	AKTi VIII	10	Bendamustine_10_AKTi VIII_10
1	300	6.43	M12	sample	sample	373299	198671	303160	150350	401248	303160	285345.6	0.253	0.123	0.182	0.119	0.2	0.707	0.561	0.639	0.585	0.664	1	Disulfiram	0.3125	WORT	0.3125	Disulfiram_0.3125_WORT_0.3125
1	301	6.25	M13	sample	sample	269834	198876	346887	224264	515893	269834	311150.8	0.183	0.123	0.208	0.177	0.257	0.641	0.562	0.667	0.669	0.714	1	Disulfiram	0.3125	WORT	0.3125	Disulfiram_0.3125_WORT_0.3125
1	299	6.01	M11	sample	sample	689111	323064	252574	163815	252826	252826	336278	0.466	0.2	0.152	0.129	0.126	0.833	0.661	0.602	0.603	0.57	1	Disulfiram	0.625	WORT	0.625	Disulfiram_0.625_WORT_0.625
1	85	5.82	D13	sample	sample	329016	197870	329245	508697	547114	329245	382388.4	0.223	0.123	0.198	0.402	0.273	0.681	0.561	0.656	0.842	0.726	1	Disulfiram	0.3125	U0126	0.3125	Disulfiram_0.3125_U0126_0.3125
1	86	5.76	D14	sample	sample	340193	212972	224243	608757	713352	340193	419903.4	0.23	0.132	0.135	0.481	0.356	0.688	0.576	0.577	0.88	0.78	1	Disulfiram	0.625	U0126	0.625	Disulfiram_0.625_U0126_0.625
1	108	5.72	E12	sample	sample	346636	344122	308374	318677	420544	344122	347670.6	0.235	0.213	0.185	0.252	0.21	0.692	0.674	0.643	0.743	0.673	1	Disulfiram	0.3125	PD	0.3125	Disulfiram_0.3125_PD_0.3125
1	84	5.72	D12	sample	sample	208894	407460	211278	572120	672813	407460	414513	0.141	0.253	0.127	0.452	0.335	0.588	0.709	0.565	0.867	0.768	1	Disulfiram	0.3125	U0126	0.3125	Disulfiram_0.3125_U0126_0.3125
1	230	5.54	J14	sample	sample	333130	303073	295683	826662	452084	333130	442126.4	0.225	0.188	0.178	0.653	0.225	0.684	0.648	0.634	0.944	0.688	1	Disulfiram	0.625	DMSO	0	Disulfiram_0.625_DMSO_0.625
2	279	5.45	L15	sample	sample	691035	492263	532388	NA	NA	532388	571895.333333333	0.343	0.262	0.275	NA	NA	0.76	0.696	0.713	NA	NA	2	Disulfiram	0.15625	AKTi VIII	0.15625	Disulfiram_0.15625_AKTi VIII_0.15625
2	302	5.42	M14	sample	sample	759783	520767	464630	NA	NA	520767	581726.666666667	0.378	0.277	0.24	NA	NA	0.78	0.708	0.684	NA	NA	2	Disulfiram	0.625	WORT	0.625	Disulfiram_0.625_WORT_0.625
2	257	5.41	K17	sample	sample	549397	401655	862321	NA	NA	549397	604457.666666667	0.273	0.214	0.446	NA	NA	0.712	0.653	0.814	NA	NA	2	Disulfiram	0.078125	MK2206	0.078125	Disulfiram_0.078125_MK2206_0.078125
1	87	5.31	D15	sample	sample	284216	270297	326740	847664	690273	326740	483838	0.192	0.168	0.196	0.67	0.344	0.651	0.625	0.655	0.95	0.773	1	Disulfiram	0.15625	U0126	0.15625	Disulfiram_0.15625_U0126_0.15625
2	274	5.28	L10	sample	sample	614439	330352	1040293	NA	NA	614439	661694.666666667	0.305	0.176	0.538	NA	NA	0.735	0.612	0.854	NA	NA	2	Disulfiram	0.15625	AKTi VIII	0.15625	Disulfiram_0.15625_AKTi VIII_0.15625
2	250	5.22	K10	sample	sample	409151	748433	683247	NA	NA	683247	613610.333333333	0.203	0.399	0.353	NA	NA	0.65	0.785	0.765	NA	NA	2	Disulfiram	0.15625	MK2206	0.15625	Disulfiram_0.15625_MK2206_0.15625
1	83	5.15	D11	sample	sample	324017	216078	234724	1156196	1118279	324017	609858.8	0.219	0.134	0.141	0.914	0.557	0.678	0.579	0.587	1.015	0.871	1	Disulfiram	0.625	U0126	0.625	Disulfiram_0.625_U0126_0.625
1	111	5.13	E15	sample	sample	343383	381331	363027	370171	612819	370171	414146.2	0.232	0.237	0.218	0.293	0.305	0.69	0.695	0.677	0.775	0.749	1	Disulfiram	0.15625	PD	0.15625	Disulfiram_0.15625_PD_0.15625
1	112	5.1	E16	sample	sample	447840	249233	259213	457354	960721	447840	474872.2	0.303	0.155	0.156	0.361	0.479	0.744	0.608	0.607	0.819	0.84	1	Disulfiram	1.25	PD	1.25	Disulfiram_1.25_PD_1.25
1	109	5.04	E13	sample	sample	317427	377475	373918	327022	752016	373918	429571.6	0.215	0.234	0.225	0.258	0.375	0.674	0.693	0.683	0.749	0.791	1	Disulfiram	0.3125	PD	0.3125	Disulfiram_0.3125_PD_0.3125
1	227	4.97	J11	sample	sample	605977	357385	320794	536125	443636	443636	452783.4	0.41	0.222	0.193	0.424	0.221	0.806	0.682	0.651	0.853	0.684	1	Disulfiram	0.625	DMSO	0	Disulfiram_0.625_DMSO_0.625
2	251	4.96	K11	sample	sample	721794	479587	739246	NA	NA	721794	646875.666666667	0.359	0.255	0.382	NA	NA	0.769	0.691	0.782	NA	NA	2	Disulfiram	0.625	MK2206	0.625	Disulfiram_0.625_MK2206_0.625
1	82	4.94	D10	sample	sample	282753	436090	481738	434114	580798	436090	443098.6	0.191	0.27	0.289	0.343	0.289	0.65	0.723	0.735	0.808	0.738	1	Disulfiram	0.15625	U0126	0.15625	Disulfiram_0.15625_U0126_0.15625
1	106	4.84	E10	sample	sample	522522	381888	336849	281248	676173	381888	439736	0.354	0.237	0.202	0.222	0.337	0.776	0.695	0.661	0.717	0.769	1	Disulfiram	0.15625	PD	0.15625	Disulfiram_0.15625_PD_0.15625
1	228	4.82	J12	sample	sample	331876	387093	385918	532213	737421	387093	474904.2	0.225	0.24	0.232	0.421	0.368	0.683	0.698	0.689	0.851	0.787	1	Disulfiram	0.3125	DMSO	0	Disulfiram_0.3125_DMSO_0.3125
2	300	4.81	M12	sample	sample	493873	735636	769928	NA	NA	735636	666479	0.245	0.392	0.398	NA	NA	0.689	0.782	0.791	NA	NA	2	Disulfiram	0.3125	WORT	0.3125	Disulfiram_0.3125_WORT_0.3125
1	302	4.63	M14	sample	sample	538559	503130	421903	211484	564459	503130	447907	0.364	0.312	0.254	0.167	0.281	0.782	0.752	0.708	0.657	0.733	1	Disulfiram	0.625	WORT	0.625	Disulfiram_0.625_WORT_0.625
1	107	4.57	E11	sample	sample	500518	327081	342692	238210	1164266	342692	514553.4	0.339	0.203	0.206	0.188	0.58	0.767	0.664	0.665	0.682	0.879	1	Disulfiram	0.625	PD	0.625	Disulfiram_0.625_PD_0.625
1	262	4.55	K22	sample	sample	530049	406922	306771	568739	734012	530049	509298.6	0.359	0.252	0.184	0.45	0.366	0.779	0.708	0.642	0.865	0.786	1	Bendamustine	10	MK2206	10	Bendamustine_10_MK2206_10
